Subject,SampleType,TimePoint,FileName,Path
AHX,WB,T1,AHX_WB_T1_RSEC_MolsPerCell_MEX.zip,DZOE2025030653-b1/1.BD_Analysis/AHX_WB_T1/AHX_WB_T1_RSEC_MolsPerCell_MEX.zip
AHX,WB,T2,AHX_WB_T2_RSEC_MolsPerCell_MEX.zip,DZOE2025030653-b2/1.BD_Analysis/AHX_WB_T2/AHX_WB_T2_RSEC_MolsPerCell_MEX.zip
AHX,WB,T3,AHX_WB_T3_RSEC_MolsPerCell_MEX.zip,DZOE2025030653-b4/1.BD_Analysis/AHX_WB_T3/AHX_WB_T3_RSEC_MolsPerCell_MEX.zip
CXT,WB,T2,CXT_WB_T2_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b2/1.BD_Analysis/CXT_WB_T2/CXT_WB_T2_RSEC_MolsPerCell_MEX.zip
CXT,WB,T3,CXT_WB_T3_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b3/1.BD_Analysis/CXT_WB_T3/CXT_WB_T3_RSEC_MolsPerCell_MEX.zip
CXT,WB,T4,CXT_WB_T4_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b4/1.BD_Analysis/CXT_WB_T4/CXT_WB_T4_RSEC_MolsPerCell_MEX.zip
CXT,WB,T5,CXT_WB_T5_RSEC_MolsPerCell_MEX.zip,DZOE2025030653-b3/1.BD_Analysis/CXT_WB_T5/CXT_WB_T5_RSEC_MolsPerCell_MEX.zip
FSB,PBMC,T1,FSB_PBMC_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b5/1.BD_Analysis/FSB_PBMC/FSB_PBMC_RSEC_MolsPerCell_MEX.zip
FSB,WB,T2,FSB_WB_T2_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b2/1.BD_Analysis/FSB_WB_T2/FSB_WB_T2_RSEC_MolsPerCell_MEX.zip
FSB,WB,T3,FSB_WB_T3_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b3/1.BD_Analysis/FSB_WB_T3/FSB_WB_T3_RSEC_MolsPerCell_MEX.zip
FSB,WB,T4,FSB_WB_T4_RSEC_MolsPerCell_MEX.zip,DZOE2024122716-b4/1.BD_Analysis/FSB_WB_T4/FSB_WB_T4_RSEC_MolsPerCell_MEX.zip
FSB,WB,T5,FSB_WB_T5_RSEC_MolsPerCell_MEX.zip,DZOE2025030653-b3/1.BD_Analysis/FSB_WB_T5/FSB_WB_T5_RSEC_MolsPerCell_MEX.zip
